text,category,priority
"Schedule team meeting for next Monday","administrative","low"
"Order office supplies and stationery","administrative","low"
"Prepare quarterly budget report","finance","high"
"Review vendor invoice 4421 from ACME","finance","high"
"URGENT fix server outage in datacenter","technical","critical"
"Install printer driver on workstation","technical","medium"
"Customer cannot login to portal - help needed","support","high"
"Answer client inquiry about shipping delay","support","medium"
"Research new project management tools","general","low"
"Update employee handbook section","administrative","medium"
"Process payroll adjustments","finance","high"
"ASAP critical security patch required","technical","critical"
"Reset user password for finance team","support","low"
"Organize filing cabinets in office","administrative","low"
"Approve expense reimbursement request","finance","medium"
"Deploy application update to staging","technical","high"
"Handle urgent customer complaint","support","critical"
"Draft meeting minutes","administrative","low"
"Reconcile bank statements","finance","high"
"Replace broken keyboard","technical","low"
"Book conference room for Friday workshop","administrative","low"
"Request new toner cartridges for printer","administrative","low"
"Submit travel expense report for March","finance","medium"
"Validate tax withholding calculations","finance","high"
"CRITICAL network switch failure in building B","technical","critical"
"Configure VPN access for remote staff","technical","medium"
"Troubleshoot email sync on mobile device","technical","medium"
"Escalate billing dispute from enterprise client","support","high"
"Respond to FAQ question about return policy","support","low"
"Summarize industry trends for leadership","general","low"
"Coordinate office move logistics","administrative","medium"
"Archive completed project documents","administrative","low"
"Prepare annual budget forecast spreadsheet","finance","high"
"Match purchase orders with delivery receipts","finance","medium"
"Immediately restore backup after ransomware alert","technical","critical"
"Patch operating system vulnerabilities on laptops","technical","high"
"Set up new employee workstation and accounts","technical","medium"
"Guide customer through password reset flow","support","low"
"Resolve shipping tracking issue for order 8812","support","medium"
"Evaluate vendor proposals for office cleaning","general","low"
"Update shared calendar with holiday schedule","administrative","low"
"Order catering for all-hands meeting","administrative","low"
"Review department spending against budget","finance","high"
"Process supplier payment batch for April","finance","high"
"URGENT database replication lag in production","technical","critical"
"Migrate legacy files to cloud storage","technical","medium"
"Install security camera firmware update","technical","medium"
"Answer phone inquiry about product warranty","support","low"
"Handle ASAP complaint about delayed shipment","support","critical"
"Compile reading list for onboarding program","general","low"
"Print and distribute new policy notices","administrative","low"
"Schedule performance review sessions","administrative","medium"
"Audit expense claims for policy compliance","finance","high"
"Close monthly accounts payable ledger","finance","high"
"Fix broken projector in main conference room","technical","low"
"Deploy hotfix for login regression bug","technical","high"
"Monitor server CPU spikes overnight","technical","medium"
"Train new agent on support ticket workflow","support","medium"
"Follow up with customer on unresolved ticket","support","high"
"Brainstorm team building activity ideas","general","low"
"Renew software license agreements","administrative","medium"
"Prepare visitor badges for client tour","administrative","low"
"Forecast Q3 cash flow requirements","finance","high"
"Verify invoice totals before payment run","finance","medium"
"EMERGENCY restore power backup for server room","technical","critical"
"Replace faulty RAM module in dev machine","technical","low"
"Document network topology for IT audit","technical","medium"
"Create knowledge base article for common issue","support","low"
"Prioritize VIP customer escalation queue","support","high"
"Review open tasks for sprint planning","general","low"
"Collect signatures for compliance form","administrative","low"
"Arrange parking permits for contractors","administrative","low"
"Analyze variance in operational budget","finance","high"
"Submit VAT return documentation","finance","high"
"Immediately contain malware on finance laptop","technical","critical"
"Upgrade firewall rules for new subnet","technical","high"
"Test backup restore procedure quarterly","technical","medium"
"Reply to chat support request about billing","support","medium"
"De-escalate angry customer call about refund","support","critical"
"Survey staff satisfaction with office tools","general","low"
"Update emergency contact directory","administrative","low"
"Reserve training room for onboarding week","administrative","low"
"Reconcile credit card statements","finance","medium"
"Approve petty cash replenishment","finance","low"
"ASAP repair internet outage on floor 3","technical","critical"
"Roll out password manager to all teams","technical","medium"
"Calibrate office temperature sensors","technical","low"
"Close duplicate support tickets in queue","support","low"
"Provide status update for open service request","support","medium"
"Identify process improvements for intake form","general","low"
"Scan and file incoming postal mail","administrative","low"
"Coordinate fire drill schedule with building","administrative","medium"
"Prepare board presentation financial slides","finance","high"
"Track overdue invoices from key accounts","finance","high"
"Critical SSL certificate expiry tonight","technical","critical"
"Rebuild CI pipeline after dependency failure","technical","high"
"Map Wi-Fi dead zones in open office area","technical","medium"
"Onboard enterprise client to support portal","support","high"
"Answer helpdesk ticket about software install","support","low"
"Compare task routing tools for thesis research","general","low"
"Maintain inventory of office equipment","administrative","low"
"Send reminder for timesheet submission deadline","administrative","low"
"Validate payroll tax deductions","finance","high"
"Process grant reimbursement paperwork","finance","medium"
"URGENT failover to secondary data center","technical","critical"
"Refresh antivirus definitions on all endpoints","technical","medium"
"Replace worn cables in server rack","technical","low"
"Summarize weekly support ticket trends","support","medium"
"Resolve priority case for strategic account","support","high"
"Draft proposal for workflow automation pilot","general","low"
